id,name,specialization_id
1,Adatrögzítő,1
2,Adminisztrátor,1
3,Irodavezető,1
4,Pályázatírás,1
5,Recepciós,1
6,Szakmai asszisztens,1
7,Személyi asszisztens,1
8,Titkárnő,1
9,Titkár,1
10,Bank biztonság,2
11,Bank biztosítás,2
12,Tőzsde vezető,2
13,Banki értékesítés,2
14,Banki ügyintéző,2
15,Befektetési tanácsadó,2
16,Biztosítás értékesítés,2
17,Bróker,2
18,Elemzés,2
19,Finanszírozás,2
20,Kockázatkezelő,2
21,Projektmenedzser,2
22,Termékfejlesztés,2
23,Treassury,2
24,HR igazgató,3
25,Informatikai igazgató,3
26,Intermin menedzser,3
27,Marketing igazgató,3
28,Kereskedelmi igazgató,3
29,Gazdasági igazgató,3
30,Startégiai tanácsadó,3
31,Termelési igazgató,3
32,Ügyvezető,3
33,Egészségügyi asszisztens,4
34,Fogorvos,4
35,Fogtechnikus,4
36,Gyógyszerész,4
37,Gyógytornász,4
38,Idősgondozó,4
39,Klinikai kutató,4
40,Laboráns,4
41,Logopédus,4
42,Masszőr,4
43,Nővért,4
44,Szakápoló,4
45,Optikus,4
46,Optometrista,4
47,Orvos,4
48,Pszichológus,4
49,Mentálhigiénés szakember,4
50,Szociális munkás,4
51,Pszichiáter,4
52,Természetgyógyász,4
53,Árnyékolástechnika,5
54,Belsőépítész,5
55,Épületgépész,5
56,Épületkarbantartó,5
57,Értékbecslő,5
58,Földmérés,5
59,Ingatlan értékesítés,5
60,Ingatlanfejlesztő,5
61,Ingatlankezelő,5
62,Kivitelező,5
63,Lakberendező,5
64,Műszaki ellenőr,5
66,Műszaki előkészítő,5
67,Műszaki rajzoló,5
68,Projektmenedzsment,5
69,Üzemeltető,5
70,Brand manager,6
71,Kereskedelmi vezető,6
72,Informatikai értékesítő,6
73,Ingatlanértékesítő,6
74,Eladó,6
75,Key Account Manager,6
76,Külkereskedelmi bonyolító,6
77,Műszaki értékesítő,6
78,Online értékesítés,6
79,Pénzügyi szolgáltatások értékesítése,6
80,Project menedzser,6
81,Telefonos értékesítő,6
82,Területi képviselő,6
83,Üzletvezető,6
84,Rakodás,7
85,Betanított munka,7
86,Csomagolás,7
87,Egyéb fizikai munka,7
88,Építőmunka,7
89,Földmunka,7
90,Építőipari segédmunkás,7
91,Gépkezelő,7
92,Házvezető,7
93,Gondnok,7
94,konyhai munka,7
95,Mezőgazdasági munka,7
96,Szobalány/Szobafiú,7
97,Takarítás,7
98,Automatizálás,8
99,CAD tervező,8
100,Műszaki rajzoló,8
101,CNC programozó,8
102,Folymatmérnök,8
103,Gyártás technikus,8
104,Karbantartő,8
105,Minőségbiztosítás,8
106,Műszakvezető,8
107,Operátor,8
108,PLC programozó,8
109,Projekt menedzsment,8
110,Termékfejleszés,8
111,Termelésirányítás,8
112,Vegyész/technikus,8
113,Bérszámfejtés,9
114,HR adminisztáció,9
115,HR specialista,9
116,HR kontoller,9
117,HR manager,9
118,Toborzás/Kiválasztás,9
119,Adatbázisszakértő,10
120,IT tanácsadó,10
121,Product owner,10
122,Projectmenedzsment,10
123,Rendszerintegrátor,10
124,Rendszertervező,10
125,Scrum master,10
126,Tesztelő,10
127,UI/UX designer,10
128,Programozó,10
129,Hálózati és Rendszermérnők,11
130,Információbiztonság,11
131,IT support/helpdesk,11
132,IT Telecom vezető,11
133,Projektmenedzsmenr,11
134,Rendszergazda,11
135,Rendszerüzemeltető,11
136,Telekommunkáció,11
137,Vállalatirányítási rendszer/SAP,11
138,Adatvédelmi szakértő,12
139,Jogi assisztens,12
140,Jogi gyakornoks,12
